ar,kvartal,diagnoskapitel_kod,diagnoskapitel_text,antal,andel,antal_kvinnor,andel_kvinnor,antal_man,andel_man
2007,4,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,51992,31.7,36276,35.1,15716,25.8
2007,4,G00-G99,Sjukdomar i nervsystemet,5253,3.2,3315,3.21,1938,3.18
2007,4,H00-H59,Sjukdomar i ögat och närliggande organ,809,0.49,418,0.4,391,0.64
2007,4,H60-H95,Sjukdomar i örat och mastoidutskottet,1209,0.74,807,0.78,402,0.66
2007,4,I00-I99,Cirkulationsorganens sjukdomar,8543,5.2,3249,3.14,5294,8.7
2007,4,J00-J99,Andningsorganens sjukdomar,2224,1.35,1367,1.32,857,1.41
2007,4,K00-K93,Matsmältningsorganens sjukdomar,3013,1.84,1625,1.57,1388,2.28
2007,4,L00-L99,Hudens och underhudens sjukdomar,1133,0.69,685,0.66,448,0.74
2007,4,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,48207,29.4,29804,28.8,18403,30.2
2007,4,N00-N99,Sjukdomar i urin- och könsorganen,1313,0.8,817,0.79,496,0.81
2007,4,O00-O99,"Graviditet, förlossning och barnsängstid",3484,2.12,3484,3.37,-,-
2007,4,P00-P96,Vissa perinatala tillstånd,21,0.01,10,0.01,11,0.02
2007,4,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",262,0.16,162,0.16,100,0.16
2007,4,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",5786,3.52,3828,3.71,1958,3.22
2007,4,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",12153,7.4,5450,5.27,6703,11
2007,4,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2007,4,V01-Y98,Yttre orsaker till sjukdom och död,62,0.04,26,0.03,36,0.06
2007,4,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,2435,1.48,1644,1.59,791,1.3
2007,4,-00--99,Saknas/Okänd,3757,2.29,2280,2.21,1477,2.43
2008,1,Samtliga,Samtliga,160010,100,101410,100,58600,100
2008,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1110,0.69,627,0.62,483,0.82
2008,1,C00-D48,Tumörer,9087,5.68,6066,5.98,3021,5.16
2008,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,476,0.3,326,0.32,150,0.26
2008,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1832,1.14,1132,1.12,700,1.19
2008,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,50473,31.5,35169,34.7,15304,26.1
2008,1,G00-G99,Sjukdomar i nervsystemet,5271,3.29,3359,3.31,1912,3.26
2008,1,H00-H59,Sjukdomar i ögat och närliggande organ,761,0.48,401,0.4,360,0.61
2008,1,H60-H95,Sjukdomar i örat och mastoidutskottet,1209,0.76,787,0.78,422,0.72
2008,1,I00-I99,Cirkulationsorganens sjukdomar,8322,5.2,3210,3.17,5112,8.72
2008,1,J00-J99,Andningsorganens sjukdomar,2382,1.49,1481,1.46,901,1.54
2008,1,K00-K93,Matsmältningsorganens sjukdomar,2928,1.83,1631,1.61,1297,2.21
2008,1,L00-L99,Hudens och underhudens sjukdomar,1127,0.7,693,0.68,434,0.74
2008,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,45980,28.7,28576,28.2,17404,29.7
2008,1,N00-N99,Sjukdomar i urin- och könsorganen,1302,0.81,818,0.81,484,0.83
2008,1,O00-O99,"Graviditet, förlossning och barnsängstid",3820,2.39,3820,3.77,-,-
2008,1,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2008,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",274,0.17,184,0.18,90,0.15
2008,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",5519,3.45,3735,3.68,1784,3.04
2008,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",11892,7.43,5464,5.39,6428,11
2008,1,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2008,1,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2008,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,2244,1.4,1502,1.48,742,1.27
2008,1,-00--99,Saknas/Okänd,3931,2.46,2395,2.36,1536,2.62
2008,2,Samtliga,Samtliga,136912,100,85703,100,51209,100
2008,2,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,947,0.69,505,0.59,442,0.86
2008,2,C00-D48,Tumörer,8661,6.33,5749,6.71,2912,5.69
2008,2,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,403,0.29,274,0.32,129,0.25
2008,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1591,1.16,955,1.11,636,1.24
2008,2,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,43246,31.6,30173,35.2,13073,25.5
2008,2,G00-G99,Sjukdomar i nervsystemet,4590,3.35,2903,3.39,1687,3.29
2008,2,H00-H59,Sjukdomar i ögat och närliggande organ,671,0.49,356,0.42,315,0.62
2008,2,H60-H95,Sjukdomar i örat och mastoidutskottet,900,0.66,587,0.68,313,0.61
2008,2,I00-I99,Cirkulationsorganens sjukdomar,7141,5.22,2695,3.14,4446,8.68
2008,2,J00-J99,Andningsorganens sjukdomar,1694,1.24,1014,1.18,680,1.33
2008,2,K00-K93,Matsmältningsorganens sjukdomar,2495,1.82,1395,1.63,1100,2.15
2008,2,L00-L99,Hudens och underhudens sjukdomar,895,0.65,541,0.63,354,0.69
2008,2,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,39001,28.5,24008,28,14993,29.3
2008,2,N00-N99,Sjukdomar i urin- och könsorganen,1064,0.78,629,0.73,435,0.85
2008,2,O00-O99,"Graviditet, förlossning och barnsängstid",2793,2.04,2793,3.26,-,-
2008,2,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2008,2,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",219,0.16,136,0.16,83,0.16
2008,2,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",4569,3.34,3061,3.57,1508,2.94
2008,2,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",11190,8.17,4922,5.74,6268,12.2
2008,2,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2008,2,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2008,2,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1839,1.34,1225,1.43,614,1.2
2008,2,-00--99,Saknas/Okänd,2949,2.15,1757,2.05,1192,2.33
2008,3,Samtliga,Samtliga,135506,100,84647,100,50859,100
2008,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1029,0.76,582,0.69,447,0.88
2008,3,C00-D48,Tumörer,8842,6.53,5820,6.88,3022,5.94
2008,3,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,403,0.3,268,0.32,135,0.27
2008,3,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1661,1.23,1048,1.24,613,1.21
2008,3,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,41886,30.9,28942,34.2,12944,25.5
2008,3,G00-G99,Sjukdomar i nervsystemet,4783,3.53,2983,3.52,1800,3.54
2008,3,H00-H59,Sjukdomar i ögat och närliggande organ,733,0.54,355,0.42,378,0.74
2008,3,H60-H95,Sjukdomar i örat och mastoidutskottet,962,0.71,621,0.73,341,0.67
2008,3,I00-I99,Cirkulationsorganens sjukdomar,7254,5.35,2758,3.26,4496,8.84
2008,3,J00-J99,Andningsorganens sjukdomar,1793,1.32,1090,1.29,703,1.38
2008,3,K00-K93,Matsmältningsorganens sjukdomar,2557,1.89,1409,1.66,1148,2.26
2008,3,L00-L99,Hudens och underhudens sjukdomar,959,0.71,588,0.69,371,0.73
2008,3,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,38021,28.1,23569,27.8,14452,28.4
2008,3,N00-N99,Sjukdomar i urin- och könsorganen,1218,0.9,753,0.89,465,0.91
2008,3,O00-O99,"Graviditet, förlossning och barnsängstid",3009,2.22,3009,3.55,-,-
2008,3,P00-P96,Vissa perinatala tillstånd,..,..,..,..,10,0.02
2008,3,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",212,0.16,129,0.15,83,0.16
2008,3,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",4478,3.3,2989,3.53,1489,2.93
2008,3,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",10969,8.09,4815,5.69,6154,12.1
2008,3,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2008,3,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,18,0.04
2008,3,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1717,1.27,1118,1.32,599,1.18
2008,3,-00--99,Saknas/Okänd,2963,2.19,1772,2.09,1191,2.34
2008,4,Samtliga,Samtliga,132333,100,81734,100,50599,100
2008,4,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,935,0.71,515,0.63,420,0.83
2008,4,C00-D48,Tumörer,8854,6.69,5766,7.05,3088,6.1
2008,4,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,386,0.29,258,0.32,128,0.25
2008,4,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1616,1.22,998,1.22,618,1.22
2008,4,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,41589,31.4,28621,35,12968,25.6
2008,4,G00-G99,Sjukdomar i nervsystemet,4731,3.58,2915,3.57,1816,3.59
2008,4,H00-H59,Sjukdomar i ögat och närliggande organ,690,0.52,325,0.4,365,0.72
2008,4,H60-H95,Sjukdomar i örat och mastoidutskottet,851,0.64,534,0.65,317,0.63
2008,4,I00-I99,Cirkulationsorganens sjukdomar,6936,5.24,2612,3.2,4324,8.55
2008,4,J00-J99,Andningsorganens sjukdomar,1707,1.29,1049,1.28,658,1.3
2008,4,K00-K93,Matsmältningsorganens sjukdomar,2496,1.89,1309,1.6,1187,2.35
2008,4,L00-L99,Hudens och underhudens sjukdomar,914,0.69,539,0.66,375,0.74
2008,4,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,37193,28.1,22441,27.5,14752,29.2
2008,4,N00-N99,Sjukdomar i urin- och könsorganen,1239,0.94,772,0.94,467,0.92
2008,4,O00-O99,"Graviditet, förlossning och barnsängstid",3163,2.39,3163,3.87,-,-
2008,4,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2008,4,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",229,0.17,135,0.17,94,0.19
2008,4,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",4058,3.07,2671,3.27,1387,2.74
2008,4,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",10829,8.18,4777,5.84,6052,12
2008,4,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2008,4,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2008,4,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1592,1.2,1018,1.25,574,1.13
2008,4,-00--99,Saknas/Okänd,2280,1.72,1295,1.58,985,1.95
2009,1,Samtliga,Samtliga,126134,100,78379,100,47755,100
2009,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,901,0.71,483,0.62,418,0.88
2009,1,C00-D48,Tumörer,8856,7.02,5751,7.34,3105,6.5
2009,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,375,0.3,252,0.32,123,0.26
2009,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1517,1.2,967,1.23,550,1.15
2009,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,39646,31.4,27061,34.5,12585,26.4
2009,1,G00-G99,Sjukdomar i nervsystemet,4456,3.53,2766,3.53,1690,3.54
2009,1,H00-H59,Sjukdomar i ögat och närliggande organ,629,0.5,314,0.4,315,0.66
2009,1,H60-H95,Sjukdomar i örat och mastoidutskottet,849,0.67,547,0.7,302,0.63
2009,1,I00-I99,Cirkulationsorganens sjukdomar,6674,5.29,2554,3.26,4120,8.63
2009,1,J00-J99,Andningsorganens sjukdomar,1652,1.31,1026,1.31,626,1.31
2009,1,K00-K93,Matsmältningsorganens sjukdomar,2442,1.94,1320,1.68,1122,2.35
2009,1,L00-L99,Hudens och underhudens sjukdomar,869,0.69,497,0.63,372,0.78
2009,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,33868,26.9,20493,26.1,13375,28
2009,1,N00-N99,Sjukdomar i urin- och könsorganen,1258,1,830,1.06,428,0.9
2009,1,O00-O99,"Graviditet, förlossning och barnsängstid",3550,2.81,3550,4.53,-,-
2009,1,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2009,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",212,0.17,130,0.17,82,0.17
2009,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",3720,2.95,2458,3.14,1262,2.64
2009,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",10831,8.59,5089,6.49,5742,12
2009,1,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2009,1,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2009,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1436,1.14,924,1.18,512,1.07
2009,1,-00--99,Saknas/Okänd,2347,1.86,1345,1.72,1002,2.1
2009,2,Samtliga,Samtliga,112356,100,68828,100,43528,100
2009,2,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,760,0.68,404,0.59,356,0.82
2009,2,C00-D48,Tumörer,8538,7.6,5487,7.97,3051,7.01
2009,2,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,337,0.3,224,0.33,113,0.26
2009,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1369,1.22,857,1.25,512,1.18
2009,2,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,35884,31.9,24400,35.5,11484,26.4
2009,2,G00-G99,Sjukdomar i nervsystemet,4062,3.62,2504,3.64,1558,3.58
2009,2,H00-H59,Sjukdomar i ögat och närliggande organ,587,0.52,286,0.42,301,0.69
2009,2,H60-H95,Sjukdomar i örat och mastoidutskottet,661,0.59,417,0.61,244,0.56
2009,2,I00-I99,Cirkulationsorganens sjukdomar,6020,5.36,2273,3.3,3747,8.61
2009,2,J00-J99,Andningsorganens sjukdomar,1255,1.12,737,1.07,518,1.19
2009,2,K00-K93,Matsmältningsorganens sjukdomar,2100,1.87,1147,1.67,953,2.19
2009,2,L00-L99,Hudens och underhudens sjukdomar,751,0.67,426,0.62,325,0.75
2009,2,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,29880,26.6,17962,26.1,11918,27.4
2009,2,N00-N99,Sjukdomar i urin- och könsorganen,1127,1,678,0.99,449,1.03
2009,2,O00-O99,"Graviditet, förlossning och barnsängstid",2765,2.46,2765,4.02,-,-
2009,2,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2009,2,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",203,0.18,120,0.17,83,0.19
2009,2,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",3166,2.82,2062,3,1104,2.54
2009,2,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",9466,8.43,4053,5.89,5413,12.4
2009,2,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2009,2,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2009,2,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1237,1.1,777,1.13,460,1.06
2009,2,-00--99,Saknas/Okänd,2138,1.9,1221,1.77,917,2.11
2009,3,Samtliga,Samtliga,111470,100,68486,100,42984,100
2009,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,899,0.81,491,0.72,408,0.95
2009,3,C00-D48,Tumörer,8557,7.68,5453,7.96,3104,7.22
2009,3,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,333,0.3,219,0.32,114,0.27
2009,3,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1432,1.28,896,1.31,536,1.25
2009,3,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,35018,31.4,23696,34.6,11322,26.3
2009,3,G00-G99,Sjukdomar i nervsystemet,4132,3.71,2528,3.69,1604,3.73
2009,3,H00-H59,Sjukdomar i ögat och närliggande organ,598,0.54,304,0.44,294,0.68
2009,3,H60-H95,Sjukdomar i örat och mastoidutskottet,702,0.63,450,0.66,252,0.59
2009,3,I00-I99,Cirkulationsorganens sjukdomar,5959,5.35,2249,3.28,3710,8.63
2009,3,J00-J99,Andningsorganens sjukdomar,1573,1.41,947,1.38,626,1.46
2009,3,K00-K93,Matsmältningsorganens sjukdomar,2219,1.99,1150,1.68,1069,2.49
2009,3,L00-L99,Hudens och underhudens sjukdomar,804,0.72,457,0.67,347,0.81
2009,3,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,28622,25.7,17480,25.5,11142,25.9
2009,3,N00-N99,Sjukdomar i urin- och könsorganen,1258,1.13,799,1.17,459,1.07
2009,3,O00-O99,"Graviditet, förlossning och barnsängstid",2889,2.59,2889,4.22,-,-
2009,3,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2009,3,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",180,0.16,118,0.17,62,0.14
2009,3,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",3129,2.81,2029,2.96,1100,2.56
2009,3,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",9323,8.36,4039,5.9,5284,12.3
2009,3,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2009,3,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2009,3,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1190,1.07,753,1.1,437,1.02
2009,3,-00--99,Saknas/Okänd,2596,2.33,1506,2.2,1090,2.54
2009,4,Samtliga,Samtliga,108656,100,66398,100,42258,100
2009,4,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,748,0.69,409,0.62,339,0.8
2009,4,C00-D48,Tumörer,8383,7.72,5367,8.08,3016,7.14
2009,4,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,329,0.3,211,0.32,118,0.28
2009,4,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1305,1.2,805,1.21,500,1.18
2009,4,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,35062,32.3,23779,35.8,11283,26.7
2009,4,G00-G99,Sjukdomar i nervsystemet,4088,3.76,2471,3.72,1617,3.83
2009,4,H00-H59,Sjukdomar i ögat och närliggande organ,544,0.5,249,0.38,295,0.7
2009,4,H60-H95,Sjukdomar i örat och mastoidutskottet,629,0.58,407,0.61,222,0.53
2009,4,I00-I99,Cirkulationsorganens sjukdomar,5528,5.09,2066,3.11,3462,8.19
2009,4,J00-J99,Andningsorganens sjukdomar,1355,1.25,755,1.14,600,1.42
2009,4,K00-K93,Matsmältningsorganens sjukdomar,1921,1.77,1006,1.52,915,2.17
2009,4,L00-L99,Hudens och underhudens sjukdomar,695,0.64,399,0.6,296,0.7
2009,4,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,28273,26,16712,25.2,11561,27.4
2009,4,N00-N99,Sjukdomar i urin- och könsorganen,1091,1,657,0.99,434,1.03
2009,4,O00-O99,"Graviditet, förlossning och barnsängstid",2860,2.63,2860,4.31,-,-
2009,4,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2009,4,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",184,0.17,112,0.17,72,0.17
2009,4,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",2683,2.47,1717,2.59,966,2.29
2009,4,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",8541,7.86,3785,5.7,4756,11.3
2009,4,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2009,4,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2009,4,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1274,1.17,784,1.18,490,1.16
2009,4,-00--99,Saknas/Okänd,3122,2.87,1818,2.74,1304,3.09
2010,1,Samtliga,Samtliga,97774,100,60181,100,37593,100
2010,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,622,0.64,331,0.55,291,0.77
2010,1,C00-D48,Tumörer,8278,8.47,5300,8.81,2978,7.92
2010,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,268,0.27,167,0.28,101,0.27
2010,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1234,1.26,808,1.34,426,1.13
2010,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2,0,808,1.34,426,1.13
2010,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1234,1.26,2,0,426,1.13
2010,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2,0,2,0,426,1.13
2010,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,29282,29.9,19808,32.9,9474,25.2
2010,1,G00-G99,Sjukdomar i nervsystemet,3714,3.8,2284,3.8,1430,3.8
2010,1,H00-H59,Sjukdomar i ögat och närliggande organ,452,0.46,218,0.36,234,0.62
2010,1,H60-H95,Sjukdomar i örat och mastoidutskottet,538,0.55,347,0.58,191,0.51
2010,1,I00-I99,Cirkulationsorganens sjukdomar,5163,5.28,1966,3.27,3197,8.5
2010,1,J00-J99,Andningsorganens sjukdomar,1313,1.34,799,1.33,514,1.37
2010,1,K00-K93,Matsmältningsorganens sjukdomar,1824,1.87,964,1.6,860,2.29
2010,1,L00-L99,Hudens och underhudens sjukdomar,589,0.6,328,0.55,261,0.69
2010,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,23871,24.4,14111,23.4,9760,26
2010,1,N00-N99,Sjukdomar i urin- och könsorganen,1116,1.14,702,1.17,414,1.1
2010,1,O00-O99,"Graviditet, förlossning och barnsängstid",3066,3.14,3066,5.09,-,-
2010,1,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2010,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",171,0.17,100,0.17,71,0.19
2010,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",2182,2.23,1433,2.38,749,1.99
2010,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",8934,9.14,4325,7.19,4609,12.3
2010,1,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2010,1,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2010,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1030,1.05,618,1.03,412,1.1
2010,1,-00--99,Saknas/Okänd,4078,4.17,2476,4.11,1602,4.26
2010,2,Samtliga,Samtliga,96487,100,59378,100,37109,100
2010,2,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,564,0.58,285,0.48,279,0.75
2010,2,C00-D48,Tumörer,8403,8.71,5400,9.09,3003,8.09
2010,2,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,270,0.28,162,0.27,108,0.29
2010,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1200,1.24,760,1.28,440,1.19
2010,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1,0,760,1.28,440,1.19
2010,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1200,1.24,1,0,440,1.19
2010,2,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",1,0,1,0,440,1.19
2010,2,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,30167,31.3,20568,34.6,9599,25.9
2010,2,G00-G99,Sjukdomar i nervsystemet,3757,3.89,2374,4,1383,3.73
2010,2,H00-H59,Sjukdomar i ögat och närliggande organ,440,0.46,202,0.34,238,0.64
2010,2,H60-H95,Sjukdomar i örat och mastoidutskottet,462,0.48,294,0.5,168,0.45
2010,2,I00-I99,Cirkulationsorganens sjukdomar,5086,5.27,1900,3.2,3186,8.59
2010,2,J00-J99,Andningsorganens sjukdomar,1031,1.07,594,1,437,1.18
2010,2,K00-K93,Matsmältningsorganens sjukdomar,1699,1.76,929,1.56,770,2.07
2010,2,L00-L99,Hudens och underhudens sjukdomar,614,0.64,364,0.61,250,0.67
2010,2,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,23947,24.8,14450,24.3,9497,25.6
2010,2,N00-N99,Sjukdomar i urin- och könsorganen,1040,1.08,608,1.02,432,1.16
2010,2,O00-O99,"Graviditet, förlossning och barnsängstid",2545,2.64,2545,4.29,-,-
2010,2,P00-P96,Vissa perinatala tillstånd,..,..,..,..,..,..
2010,2,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",195,0.2,117,0.2,78,0.21
2010,2,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",2150,2.23,1367,2.3,783,2.11
2010,2,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",7834,8.12,3377,5.69,4457,12
2010,2,U00-U99,Koder för särskilda ändamål,..,..,..,..,-,-
2010,2,V01-Y98,Yttre orsaker till sjukdom och död,..,..,..,..,..,..
2010,2,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,1042,1.08,604,1.02,438,1.18
2010,2,-00--99,Saknas/Okänd,4000,4.15,2463,4.15,1537,4.14
2010,3,Samtliga,Samtliga,101328,100,62840,100,38488,100
2010,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1,0,1,0,321,0.83
2010,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,692,0.68,1,0,321,0.83
2010,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1,0,371,0.59,321,0.83
2010,3,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,692,0.68,371,0.59,321,0.83
2010,3,C00-D48,Tumörer,8643,8.53,5570,8.86,3073,7.98
2010,3,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,276,0.27,176,0.28,100,0.26
